Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,ssd Name,Price
SSD,SA1000M8/960G,Kingston,A1000 NVMe PCIe M.2 960GB,181,130.0,2107,https://ssd.userbenchmark.com/SpeedTest/495225/KINGSTON-SA1000M8960G,Kingston A1000 NVMe PCIe M.2 960GB,60.50
SSD,CSSD-F120GBMP500,Corsair,Force MP500 NVMe PCIe M.2 120GB,182,128.0,11475,https://ssd.userbenchmark.com/SpeedTest/221057/Force-MP500,Corsair Force MP500 NVMe PCIe M.2 120GB,32.95
SSD,SSDPEKKW512G7X1,Intel,600p Series NVMe PCIe M.2 512GB,183,128.0,20782,https://ssd.userbenchmark.com/SpeedTest/168978/INTEL-SSDPEKKW512G7,Intel 600p Series NVMe PCIe M.2 512GB,125.00
SSD,MZHPU512HCGL,Samsung,XP941 PCIe M.2 512GB,184,128.0,1482,https://ssd.userbenchmark.com/SpeedTest/4874/SAMSUNG-MZHPU512HCGL-00000,Samsung XP941 PCIe M.2 512GB,88.99
SSD,ASX6000NP-1TT-C,Adata,XPG SX6000 NVMe PCIe M.2 1TB,185,128.0,209,https://ssd.userbenchmark.com/SpeedTest/471014/ADATA-SX6000NP,Adata XPG SX6000 NVMe PCIe M.2 1TB,46.99
SSD,ASX7000NP-512GT-C,Adata,XPG SX7000 NVMe PCIe M.2 512GB,186,126.0,2976,https://ssd.userbenchmark.com/SpeedTest/318275/NVMe-ADATA-SX7000NP,Adata XPG SX7000 NVMe PCIe M.2 512GB,46.99
SSD,MDNVME80-SBX-0512,MyDigitalSSD,SBX NVMe PCIe M.2 512GB,187,126.0,196,https://ssd.userbenchmark.com/SpeedTest/438137/SBX,MyDigitalSSD SBX NVMe PCIe M.2 512GB,79.99
SSD,KXG50ZNV256G,Toshiba,XG5 NVMe PCIe M.2 256GB,188,125.0,44050,https://ssd.userbenchmark.com/SpeedTest/358656/KXG50ZNV256G-NVMe-TOSHIBA-256GB,Toshiba XG5 NVMe PCIe M.2 256GB,25.99
SSD,ASX6000NP-512GT-C,Adata,XPG SX6000 NVMe PCIe M.2 512GB,189,123.0,2661,https://ssd.userbenchmark.com/SpeedTest/410831/ADATA-SX6000NP,Adata XPG SX6000 NVMe PCIe M.2 512GB,46.99
SSD,,Toshiba, THNSN5512GPUK NVMe PCIe M.2 512GB,190,122.0,19561,https://ssd.userbenchmark.com/SpeedTest/160272/NVMe-THNSN5512GPUK-NV,Toshiba  THNSN5512GPUK NVMe PCIe M.2 512GB,54.99
SSD,WDS256G1X0C,WD,Black NVMe PCIe M.2 256GB (2017),191,121.0,28136,https://ssd.userbenchmark.com/SpeedTest/237667/WDC-WDS256G1X0C-00ENX0,WD Black NVMe PCIe M.2 256GB (2017),100.24
